id,username,score,time
1,yanak1,40,2025-10-19 15:11:28
2,testname,1210,2025-10-19 15:14:51
3,testitem,1040,2025-10-19 15:23:29
4,yanak1,1420,2025-10-19 15:39:51
5,manbo,1090,2025-10-19 15:53:00
6,manbo1,1290,2025-10-19 15:53:48
7,manbo2,520,2025-10-19 15:54:20
8,YANAK1,420,2025-10-24 18:34:12
9,yanak1,1060,2025-10-24 19:55:30
10,testBomb,110,2025-10-24 19:58:10
11,bombTest,360,2025-10-25 11:24:15
12,bombTest,2700,2025-10-25 11:25:51
13,easytest,680,2025-10-26 14:55:18
14,easytest,10,2025-10-26 14:55:34
15,easyNoBoss,190,2025-10-26 15:00:43
16,bossTest,2440,2025-10-26 15:38:55
17,boss,830,2025-10-26 15:40:48
18,normal,760,2025-10-26 15:56:01
19,亚娜,90,2025-10-26 16:53:55
20,easytest,200,2025-10-26 17:33:25
21,hardEND,0,2025-10-26 17:46:20
22,1234,40,2025-10-26 17:48:59
23,7890,3030,2025-10-26 17:51:20
24,hardEND,50,2025-10-26 17:58:51
25,hard124,5320,2025-10-26 18:01:21
26,hard123,40,2025-10-26 18:06:37
27,hardFinal,1330,2025-10-26 18:13:40
28,Final,660,2025-10-26 18:22:41
